2016,S AB CASH 2016,PEACE CASH 2016,N AB CASH 2016,2017,S AB CASH 2017,PEACE CASH 2017,N AB CASH 2017,2018,S AB CASH 2018,PEACE CASH 2018,N AB CASH 2018,2019,S AB CASH 2019,PEACE CASH 2019,N AB CASH 2019,2020,S AB CASH 2020,PEACE CASH 2020,N AB CASH 2020,2021,S AB CASH 2021,PEACE CASH 2021,N AB CASH 2021,2022,S AB CASH 2022,PEACE CASH 2022,N AB CASH 2022
01/04/2016,5.54,5.34,5.44,01/03/2017,4.66,4.55,4.65,01/02/2018,5.32,5.22,5.31,01/02/2019,6.54,6.3,6.44,01/02/2020,6.09,5.87,6.01,01/04/2021,6.86,6.65,6.84,01/03/2022,11.27,11.19,11.32
01/05/2016,5.47,5.43,5.49,01/04/2017,4.78,4.65,4.78,01/03/2018,5.38,5.27,5.36,01/03/2019,6.64,6.4,6.54,01/03/2020,5.97,5.77,5.9,01/05/2021,6.96,6.74,6.94,01/04/2022,11.34,11.25,11.39
01/06/2016,5.43,5.3,5.42,01/05/2017,4.79,4.66,4.78,01/04/2018,5.37,5.26,5.35,01/04/2019,6.66,6.42,6.56,01/06/2020,5.98,5.77,5.91,01/06/2021,6.89,6.67,6.87,01/05/2022,11.19,11.06,11.21
01/07/2016,5.44,5.31,5.44,01/06/2017,4.78,4.65,4.76,01/05/2018,5.3,5.19,5.29,01/07/2019,6.58,6.36,6.5,01/07/2020,5.95,5.73,5.87,01/07/2021,6.81,6.59,6.79,01/06/2022,10.93,10.83,10.98
01/08/2016,5.54,5.48,5.6,01/09/2017,4.8,4.67,4.8,01/08/2018,5.26,5.15,5.25,01/08/2019,6.63,6.41,6.54,01/08/2020,5.94,5.8,5.92,01/08/2021,6.85,6.64,6.83,01/07/2022,10.94,10.78,10.94
01/11/2016,5.55,5.32,5.44,01/10/2017,4.8,4.71,4.81,01/09/2018,5.33,5.22,5.32,01/09/2019,6.62,6.41,6.55,01/09/2020,6.15,5.92,6.06,01/11/2021,6.87,6.67,6.86,01/10/2022,10.98,10.8,10.97
01/12/2016,5.61,5.5,5.62,01/11/2017,4.7,4.6,4.71,01/10/2018,5.34,5.23,5.33,01/10/2019,6.56,6.35,6.48,01/10/2020,6.19,5.98,6.13,01/12/2021,7.12,6.9,7.1,01/11/2022,11.05,10.93,11.08
01/13/2016,5.71,5.52,5.69,01/12/2017,4.81,4.71,4.83,01/11/2018,5.38,5.28,5.39,01/11/2019,6.62,6.41,6.54,01/13/2020,6.13,5.92,6.06,01/13/2021,7.15,6.94,7.13,01/12/2022,10.86,10.73,10.89
01/14/2016,5.62,5.45,5.61,01/13/2017,4.81,4.71,4.94,01/12/2018,5.3,5.21,5.31,01/14/2019,6.57,6.35,6.49,01/14/2020,6.2,5.99,6.14,01/14/2021,7.24,7.02,7.21,01/13/2022,10.64,10.46,10.63
01/15/2016,5.7,5.51,5.65,01/16/2017,4.83,4.74,4.86,01/15/2018,5.31,5.21,5.35,01/15/2019,6.5,6.29,6.43,01/15/2020,6.21,6,6.14,01/15/2021,7.31,7.08,7.28,01/14/2022,10.51,10.39,10.55
01/19/2016,5.79,5.62,5.78,01/17/2017,4.87,4.74,4.93,01/16/2018,5.22,5.13,5.23,01/16/2019,6.53,6.33,6.46,01/16/2020,6.05,5.85,5.99,01/19/2021,7.32,7.1,7.3,01/17/2022,10.51,10.34,10.51
01/20/2016,5.57,5.47,5.63,01/18/2017,4.87,4.79,4.91,01/17/2018,5.26,5.17,5.27,01/17/2019,6.65,6.45,6.58,01/17/2020,6.19,5.99,6.13,01/20/2021,7.31,7.08,7.28,01/19/2022,10.91,10.34,10.88
01/21/2016,5.55,5.41,5.6,01/19/2017,4.87,4.79,4.85,01/18/2018,5.3,5.21,5.31,01/18/2019,6.66,6.46,6.59,01/20/2020,6.15,5.99,6.08,01/21/2021,7.26,7.02,7.23,01/20/2022,10.9,10.34,10.88
01/22/2016,5.64,5.48,5.64,01/20/2017,4.87,4.79,4.86,01/19/2018,5.28,5.19,5.29,01/21/2019,6.61,6.46,6.53,01/21/2020,6.18,6.01,6.13,01/22/2021,7.05,6.82,7.02,01/21/2022,10.96,10.76,10.94
01/25/2016,5.45,5.48,5.64,01/23/2017,4.87,4.79,4.88,01/22/2018,5.3,5.2,5.3,01/22/2019,6.71,6.5,6.63,01/22/2020,6.14,5.96,6.08,01/25/2021,7.21,6.97,7.18,01/24/2022,11.32,11.15,11.31
01/26/2016,5.56,5.39,5.56,01/24/2017,4.72,4.64,4.76,01/23/2018,5.23,5.14,5.24,01/23/2019,6.77,6.55,6.68,01/23/2020,6.12,5.96,6.08,01/26/2021,7.34,7.1,7.31,01/25/2022,11.43,11.23,11.41
01/27/2016,5.37,5.39,5.56,01/25/2017,4.64,4.56,4.69,01/24/2018,5.29,5.19,5.3,01/24/2019,6.75,6.55,6.68,01/24/2020,6.01,5.84,5.96,01/27/2021,7.32,7.09,7.3,01/26/2022,11.15,10.95,11.12
01/28/2016,5.36,5.27,5.42,01/26/2017,4.64,4.56,4.78,01/25/2018,5.32,5.22,5.33,01/25/2019,6.71,6.51,6.64,01/27/2020,5.95,5.78,5.9,01/28/2021,7.26,7.03,7.23,01/27/2022,10.98,10.77,10.94
01/29/2016,5.48,5.33,5.5,01/27/2017,4.65,4.52,4.73,01/26/2018,5.41,5.3,5.41,01/28/2019,6.67,6.47,6.6,01/28/2020,5.91,5.74,5.86,01/29/2021,7.36,7.13,7.33,01/28/2022,11.13,10.93,11.1
02/01/2016,5.49,5.32,5.51,01/30/2017,4.65,4.46,4.61,01/29/2018,5.48,5.36,5.47,01/29/2019,6.61,6.41,6.54,01/29/2020,5.8,5.64,5.75,02/01/2021,7.25,7.01,7.22,01/31/2022,10.83,10.93,10.8
02/02/2016,5.43,5.32,5.5,01/31/2017,4.52,4.44,4.58,01/30/2018,5.65,5.52,5.63,01/30/2019,6.61,6.42,6.54,01/30/2020,5.79,5.62,5.73,02/02/2021,7.2,6.96,7.17,02/01/2022,10.93,10.75,10.91
02/03/2016,5.47,5.31,5.5,02/01/2017,4.52,4.44,4.82,01/31/2018,5.6,5.45,5.57,01/31/2019,6.56,6.36,6.49,01/31/2020,5.73,5.57,5.68,02/03/2021,7.26,7.02,7.23,02/02/2022,10.7,10.61,10.74
02/04/2016,5.3,5.18,5.3,02/02/2017,4.52,4.44,4.84,02/01/2018,5.59,5.43,5.56,02/01/2019,6.67,6.5,6.6,02/03/2020,5.8,5.65,5.76,02/04/2021,7.24,7.02,7.21,02/03/2022,10.72,10.56,10.72
02/05/2016,5.13,5.18,5.3,02/03/2017,4.73,4.63,4.76,02/02/2018,5.58,5.43,5.55,02/04/2019,6.69,6.5,6.61,02/04/2020,5.83,5.69,5.79,02/05/2021,7.3,7.08,7.28,02/04/2022,10.95,10.77,10.93
02/08/2016,5.21,5.07,5.2,02/06/2017,4.69,4.59,4.71,02/05/2018,5.58,5.42,5.54,02/05/2019,6.7,6.5,6.62,02/05/2020,5.9,5.75,5.86,02/08/2021,7.49,7.24,7.46,02/07/2022,10.99,10.81,10.97
02/09/2016,5.15,4.99,5.15,02/07/2017,4.72,4.62,4.74,02/06/2018,5.68,5.51,5.64,02/06/2019,6.71,6.51,6.62,02/06/2020,5.85,5.7,5.8,02/09/2021,7.38,7.11,7.34,02/08/2022,11.19,11.04,11.2
02/10/2016,5.08,4.99,5.15,02/08/2017,4.76,4.66,4.78,02/07/2018,5.83,5.64,5.78,02/07/2019,6.57,6.37,6.48,02/07/2020,5.9,5.75,5.86,02/10/2021,7.17,6.9,7.13,02/09/2022,11.37,11.24,11.38
02/11/2016,5.17,5.01,5.19,02/09/2017,4.76,4.66,4.91,02/08/2018,5.76,5.57,5.71,02/08/2019,6.57,6.38,6.49,02/10/2020,5.9,5.75,5.86,02/11/2021,7.21,6.98,7.19,02/10/2022,11.17,11.03,11.18
02/12/2016,5.17,5.04,5.17,02/10/2017,4.76,4.66,4.97,02/09/2018,5.69,5.51,5.65,02/11/2019,6.53,6.34,6.45,02/11/2020,5.87,5.73,5.83,02/12/2021,7.25,7.03,7.23,02/11/2022,11.38,11.22,11.38
02/16/2016,5.16,5.04,5.24,02/13/2017,4.76,4.66,5.04,02/12/2018,5.85,5.67,5.81,02/12/2019,6.47,6.29,6.39,02/12/2020,5.88,5.74,5.84,02/16/2021,7.45,7.23,7.44,02/14/2022,11.44,11.28,11.43
02/17/2016,5.24,5.1,5.26,02/14/2017,4.76,4.66,5.02,02/13/2018,5.84,5.67,5.81,02/13/2019,6.52,6.33,6.44,02/13/2020,5.84,5.7,5.8,02/17/2021,7.31,7.09,7.29,02/15/2022,11.29,11.16,11.3
02/18/2016,5.25,5.1,5.26,02/16/2017,4.76,4.66,4.96,02/14/2018,5.78,5.61,5.75,02/14/2019,6.43,6.27,6.36,02/14/2020,5.84,5.67,5.79,02/18/2021,7.45,7.23,7.44,02/16/2022,11.28,11.15,11.29
02/19/2016,5.35,5.25,5.4,02/17/2017,4.76,4.67,4.79,02/15/2018,5.86,5.69,5.82,02/15/2019,6.37,6.21,6.31,02/18/2020,5.99,5.79,5.93,02/19/2021,7.39,7.16,7.37,02/17/2022,11.42,11.26,11.42
02/22/2016,5.25,5.25,5.36,02/21/2017,4.76,4.67,4.89,02/16/2018,5.87,5.7,5.84,02/19/2019,6.2,6.05,6.14,02/19/2020,5.91,5.71,5.85,02/22/2021,7.6,7.35,7.57,02/18/2022,11.61,11.43,11.59
02/23/2016,5.31,5.17,5.31,02/22/2017,4.81,4.71,4.84,02/20/2018,5.82,5.65,5.79,02/20/2019,6.06,5.92,6.01,02/20/2020,5.85,5.65,5.79,02/23/2021,7.56,7.32,7.54,02/22/2022,11.99,11.87,12.02
02/24/2016,5.37,5.28,5.39,02/23/2017,4.8,4.71,4.84,02/21/2018,5.8,5.63,5.75,02/21/2019,6.13,5.99,6.08,02/21/2020,5.78,5.59,5.72,02/24/2021,7.71,7.47,7.68,02/23/2022,12.22,12.09,12.25
02/25/2016,5.31,5.21,5.34,02/24/2017,4.74,4.64,4.76,02/22/2018,5.85,5.69,5.8,02/22/2019,6.17,6.05,6.13,02/24/2020,5.64,5.45,5.59,02/25/2021,7.59,7.34,7.56,02/24/2022,12,11.86,12.03
02/26/2016,5.28,5.21,5.38,02/27/2017,4.65,4.55,4.68,02/23/2018,5.84,5.68,5.79,02/25/2019,5.97,5.85,5.92,02/25/2020,5.65,5.45,5.59,02/26/2021,7.43,7.18,7.4,02/25/2022,11.2,11.09,11.25
02/29/2016,5.41,5.32,5.43,02/28/2017,4.74,4.64,4.77,02/26/2018,5.97,5.79,5.91,02/26/2019,5.88,5.75,5.83,02/26/2020,5.64,5.44,5.58,03/01/2021,7.37,7.15,7.35,03/01/2022,12.24,12.19,12.33
