2016,S AB CASH 2016,PEACE CASH 2016,N AB CASH 2016,2017,S AB CASH 2017,PEACE CASH 2017,N AB CASH 2017,2018,S AB CASH 2018,PEACE CASH 2018,N AB CASH 2018,2019,S AB CASH 2019,PEACE CASH 2019,N AB CASH 2019,2020,S AB CASH 2020,PEACE CASH 2020,N AB CASH 2020,2021,S AB CASH 2021,PEACE CASH 2021,N AB CASH 2021,2022,S AB CASH 2022,PEACE CASH 2022,N AB CASH 2022
1/4/2016,6.37,6.36,6.39,1/2/2017,6.46,6.57,6.69,1/1/2018,6.94,6.73,6.84,1/1/2019,7.23,6.91,7.09,1/1/2020,6.65,6.49,6.59,1/1/2021,7.38,7.25,7.39,1/3/2022,12.3,12.22,12.35
1/5/2016,6.41,6.37,6.42,1/3/2017,6.62,6.57,6.69,1/2/2018,6.82,6.73,6.84,1/2/2019,7.23,6.91,7.08,1/2/2020,6.71,6.48,6.62,1/4/2021,7.34,7.19,7.35,1/4/2022,12.32,12.21,12.35
1/6/2016,6.48,6.45,6.48,1/4/2017,6.62,6.57,6.68,1/3/2018,6.83,6.73,6.83,1/3/2019,7.34,7.03,7.19,1/3/2020,6.59,6.36,6.5,1/5/2021,7.4,7.27,7.43,1/5/2022,12.09,11.99,12.12
1/7/2016,6.54,6.5,6.52,1/5/2017,6.62,6.56,6.69,1/4/2018,6.91,6.81,6.91,1/4/2019,7.34,7.04,7.21,1/6/2020,6.61,6.41,6.55,1/6/2021,7.38,7.25,7.41,1/6/2022,11.81,11.72,11.85
1/8/2016,6.57,6.55,6.6,1/6/2017,6.67,6.61,6.76,1/5/2018,6.85,6.76,6.86,1/7/2019,7.23,6.95,7.12,1/7/2020,6.6,6.39,6.53,1/7/2021,7.33,7.19,7.36,1/7/2022,11.69,11.6,11.73
1/11/2016,6.51,6.55,6.57,1/9/2017,6.7,6.61,6.76,1/8/2018,6.85,6.76,6.86,1/8/2019,7.23,6.96,7.12,1/8/2020,6.59,6.41,6.53,1/8/2021,7.39,7.26,7.42,1/10/2022,11.69,11.58,11.71
1/12/2016,6.66,6.55,6.71,1/10/2017,6.72,6.61,6.77,1/9/2018,6.91,6.81,6.92,1/9/2019,7.24,6.98,7.14,1/9/2020,6.71,6.51,6.64,1/11/2021,7.4,7.28,7.44,1/11/2022,11.8,11.7,11.83
1/13/2016,6.64,6.59,6.67,1/11/2017,6.65,6.65,6.76,1/10/2018,6.97,6.85,6.96,1/10/2019,7.17,6.91,7.08,1/10/2020,6.79,6.58,6.71,1/12/2021,7.54,7.43,7.6,1/12/2022,11.65,11.51,11.68
1/14/2016,6.57,6.55,6.65,1/12/2017,6.72,6.65,6.77,1/11/2018,6.95,6.86,6.95,1/11/2019,7.23,6.95,7.12,1/13/2020,6.75,6.54,6.67,1/13/2021,7.57,7.47,7.64,1/13/2022,11.41,11.24,11.41
1/15/2016,6.69,6.6,6.7,1/13/2017,6.78,6.65,6.86,1/12/2018,6.74,6.66,6.76,1/14/2019,7.19,6.92,7.09,1/14/2020,6.77,6.55,6.69,1/14/2021,7.66,7.54,7.71,1/14/2022,11.31,11.15,11.32
1/18/2016,6.72,6.6,6.7,1/16/2017,6.68,6.62,6.73,1/15/2018,6.72,6.66,6.79,1/15/2019,7.15,6.87,7.04,1/15/2020,6.77,6.56,6.69,1/15/2021,7.72,7.61,7.78,1/17/2022,11.23,11.07,11.23
1/19/2016,6.73,6.64,6.73,1/17/2017,6.61,6.62,6.74,1/16/2018,6.76,6.7,6.79,1/16/2019,7.19,6.93,7.09,1/16/2020,6.7,6.49,6.62,1/18/2021,7.79,7.68,7.82,1/18/2022,11.51,11.35,11.49
1/20/2016,6.65,6.64,6.67,1/18/2017,6.71,6.65,6.79,1/17/2018,6.74,6.7,6.79,1/17/2019,7.28,7.02,7.18,1/17/2020,6.82,6.62,6.74,1/19/2021,7.73,7.62,7.79,1/19/2022,11.87,11.72,11.84
1/21/2016,6.64,6.64,6.66,1/19/2017,6.74,6.65,6.79,1/18/2018,6.74,6.69,6.78,1/18/2019,7.31,7.05,7.21,1/20/2020,6.82,6.63,6.74,1/20/2021,7.64,7.54,7.71,1/20/2022,11.89,11.76,11.91
1/22/2016,6.6,6.53,6.62,1/20/2017,6.72,6.65,6.79,1/19/2018,6.77,6.69,6.78,1/21/2019,7.33,7.05,7.23,1/21/2020,6.8,6.61,6.72,1/21/2021,7.59,7.48,7.65,1/21/2022,11.89,11.75,11.9
1/25/2016,6.57,6.53,6.62,1/23/2017,6.69,6.65,6.74,1/22/2018,6.74,6.66,6.75,1/22/2019,7.31,7.03,7.2,1/22/2020,6.76,6.57,6.68,1/22/2021,7.38,7.28,7.45,1/24/2022,12.09,11.95,12.1
