2016,MWC1 2016,MWC2 2016,MWC3 2016,2017,MWC1 2017,MWC2 2017,MWC3 2017,2018,MWC1 2018,MWC2 2018,MWC3 2018,2019,MWC1 2019,MWC2 2019,MWC3 2019,2020,MWC1 2020,MWC2 2020,MWC3 2020,2021,MWC1 2021,MWC2 2021,MWC3 2021,2022,MWC1 2022,MWC2 2022,MWC3 2022
1/4/2016,6.75,6.90625,7.03125,1/3/2017,7.21875,7.1875,7.21875,1/2/2018,7.71875,7.8125,7.875,1/2/2019,7.53125,7.59375,7.6875,1/2/2020,7.25,7.375,7.46875,1/4/2021,7.65625,7.75,7.8125,1/3/2022,12.34375,12.28125,12.0625
1/5/2016,6.8125,6.9375,7.09375,1/4/2017,7.25,7.1875,7.21875,1/3/2018,7.78125,7.84375,7.90625,1/3/2019,7.625,7.6875,7.78125,1/3/2020,7.125,7.25,7.34375,1/5/2021,7.6875,7.8125,7.84375,1/4/2022,12.34375,12.28125,12.09375
1/6/2016,6.90625,7,7.125,1/5/2017,7.28125,7.21875,7.21875,1/4/2018,7.84375,7.90625,7.9375,1/4/2019,7.625,7.6875,7.78125,1/6/2020,7.09375,7.21875,7.3125,1/6/2021,7.6875,7.78125,7.84375,1/5/2022,12.09375,12.03125,11.875
1/7/2016,6.96875,7.0625,7.21875,1/6/2017,7.3125,7.25,7.21875,1/5/2018,7.78125,7.84375,7.875,1/7/2019,7.5625,7.625,7.71875,1/7/2020,7.125,7.21875,7.3125,1/7/2021,7.65625,7.75,7.8125,1/6/2022,11.75,11.71875,11.625
1/8/2016,7.09375,7.1875,7.3125,1/9/2017,7.40625,7.3125,7.28125,1/8/2018,7.78125,7.84375,7.875,1/8/2019,7.53125,7.59375,7.6875,1/8/2020,7.15625,7.25,7.34375,1/8/2021,7.71875,7.8125,7.84375,1/7/2022,11.6875,11.625,11.53125
1/11/2016,7,7.125,7.25,1/10/2017,7.4375,7.3125,7.25,1/9/2018,7.875,7.9375,7.96875,1/9/2019,7.53125,7.59375,7.6875,1/9/2020,7.21875,7.3125,7.40625,1/11/2021,7.75,7.84375,7.90625,1/10/2022,11.59375,11.5625,11.5
1/12/2016,7.21875,7.3125,7.4375,1/11/2017,7.40625,7.25,7.1875,1/10/2018,7.96875,8.03125,8.0625,1/10/2019,7.46875,7.53125,7.625,1/10/2020,7.28125,7.40625,7.5,1/12/2021,7.875,8,8.03125,1/11/2022,11.65625,11.625,11.5625
1/13/2016,7.15625,7.25,7.375,1/12/2017,7.53125,7.375,7.28125,1/11/2018,7.875,7.9375,8,1/11/2019,7.5625,7.625,7.6875,1/13/2020,7.25,7.375,7.4375,1/13/2021,7.96875,8.09375,8.125,1/12/2022,11.5,11.5,11.4375
1/14/2016,7.0625,7.1875,7.28125,1/13/2017,7.625,7.40625,7.34375,1/12/2018,7.625,7.71875,7.78125,1/14/2019,7.5,7.5625,7.65625,1/14/2020,7.25,7.375,7.46875,1/14/2021,8.09375,8.1875,8.25,1/13/2022,11.21875,11.1875,11.1875
1/15/2016,7.21875,7.3125,7.40625,1/17/2017,7.375,7.28125,7.25,1/16/2018,7.59375,7.71875,7.78125,1/15/2019,7.46875,7.53125,7.625,1/15/2020,7.25,7.34375,7.4375,1/15/2021,8.1875,8.3125,8.34375,1/14/2022,11.03125,11,10.96875
