2016,RSC1 2016,RSC2 2016,RSC3 2016,2017,RSC1 2017,RSC2 2017,RSC3 2017,2018,RSC1 2018,RSC2 2018,RSC3 2018,2019,RSC1 2019,RSC2 2019,RSC3 2019,2020,RSC1 2020,RSC2 2020,RSC3 2020,2021,RSC1 2021,RSC2 2021,RSC3 2021,2022,RSC1 2022,RSC2 2022,RSC3 2022
1/4/2016,10.75,10.93,11.05,1/3/2017,11.18,11.34,11.49,1/2/2018,10.94,11.13,11.29,1/2/2019,10.93,11.09,11.27,1/2/2020,10.69,10.89,11.09,1/4/2021,14.25,14.42,14.20,1/4/2022,23.62,23.17,22.64
1/5/2016,10.80,10.98,11.14,1/4/2017,11.28,11.42,11.57,1/3/2018,11.02,11.22,11.38,1/3/2019,10.93,11.09,11.27,1/3/2020,10.65,10.85,11.05,1/5/2021,14.48,14.65,14.45,1/5/2022,23.65,23.20,22.70
1/6/2016,10.84,11.02,11.19,1/5/2017,11.29,11.42,11.57,1/4/2018,11.12,11.31,11.48,1/4/2019,10.85,11.01,11.20,1/6/2020,10.63,10.82,11.03,1/6/2021,14.62,14.79,14.57,1/6/2022,23.66,23.21,22.72
1/7/2016,10.66,10.84,11.00,1/6/2017,11.16,11.30,11.45,1/5/2018,11.16,11.30,11.47,1/7/2019,10.92,11.00,11.20,1/7/2020,10.69,10.88,11.08,1/7/2021,14.73,14.90,14.67,1/7/2022,23.93,23.48,22.98
1/8/2016,10.73,10.92,11.08,1/9/2017,11.18,11.32,11.47,1/8/2018,11.12,11.26,11.43,1/8/2019,10.98,11.01,11.20,1/8/2020,10.71,10.90,11.10,1/8/2021,14.92,15.09,14.82,1/10/2022,23.83,23.37,22.84
1/11/2016,10.66,10.85,11.02,1/10/2017,11.20,11.34,11.49,1/9/2018,11.12,11.26,11.44,1/9/2019,10.97,11.00,11.19,1/9/2020,10.77,10.96,11.16,1/11/2021,15.09,15.26,14.93,1/11/2022,23.77,23.32,22.67
1/12/2016,10.76,10.95,11.13,1/11/2017,11.16,11.30,11.45,1/10/2018,11.06,11.19,11.36,1/10/2019,10.87,10.90,11.09,1/10/2020,10.78,10.98,11.17,1/12/2021,15.41,15.58,15.17,1/12/2022,23.46,23.01,22.49
1/13/2016,10.81,11.00,11.17,1/12/2017,11.25,11.39,11.55,1/11/2018,10.99,11.13,11.31,1/11/2019,10.94,10.96,11.16,1/13/2020,10.76,10.95,11.15,1/13/2021,15.53,15.53,15.16,1/13/2022,22.79,22.34,22.03
1/14/2016,10.83,11.01,11.17,1/13/2017,11.20,11.34,11.50,1/12/2018,11.04,11.18,11.35,1/14/2019,10.85,10.88,11.07,1/14/2020,10.76,10.92,11.12,1/14/2021,15.60,15.60,15.25,1/14/2022,22.75,22.29,22.04
1/15/2016,10.99,11.16,11.22,1/16/2017,11.43,11.58,11.66,1/15/2018,11.14,11.30,11.42,1/15/2019,10.79,10.98,11.14,1/15/2020,10.79,11.00,11.12,1/15/2021,15.60,15.17,14.79,1/17/2022,22.12,21.78,21.14
1/18/2016,11.04,11.21,11.29,1/17/2017,11.54,11.70,11.78,1/16/2018,11.10,11.27,11.40,1/16/2019,10.87,11.06,11.24,1/16/2020,10.80,11.00,11.12,1/18/2021,15.51,15.10,14.73,1/18/2022,21.86,21.59,20.96
1/19/2016,11.06,11.25,11.34,1/18/2017,11.69,11.84,11.92,1/17/2018,11.11,11.27,11.41,1/17/2019,10.96,11.14,11.31,1/17/2020,10.91,11.11,11.22,1/19/2021,15.06,14.66,14.30,1/19/2022,22.70,22.25,21.45
1/20/2016,11.00,11.18,11.27,1/19/2017,11.76,11.92,12.00,1/18/2018,11.17,11.34,11.48,1/18/2019,10.98,11.17,11.35,1/20/2020,10.91,11.11,11.21,1/20/2021,14.71,14.39,14.05,1/20/2022,23.18,22.80,21.96
1/21/2016,10.95,11.14,11.24,1/20/2017,11.78,11.95,12.04,1/19/2018,11.25,11.40,11.53,1/21/2019,10.95,11.13,11.30,1/21/2020,10.81,11.01,11.11,1/21/2021,14.90,14.63,14.35,1/21/2022,23.19,22.89,22.17
1/22/2016,10.92,11.12,11.23,1/23/2017,11.79,11.95,12.03,1/22/2018,11.21,11.36,11.49,1/22/2019,11.01,11.19,11.37,1/22/2020,10.84,11.04,11.14,1/22/2021,14.73,14.42,14.14,1/24/2022,22.59,22.35,21.76
1/25/2016,10.93,11.12,11.24,1/24/2017,11.87,12.03,12.13,1/23/2018,11.25,11.41,11.53,1/23/2019,11.02,11.21,11.40,1/23/2020,10.73,10.93,11.05,1/25/2021,15.32,14.83,14.44,1/25/2022,22.57,22.40,21.96
1/26/2016,10.84,11.04,11.17,1/25/2017,11.85,12.01,12.11,1/24/2018,11.23,11.38,11.51,1/24/2019,11.05,11.24,11.43,1/24/2020,10.65,10.85,10.99,1/26/2021,15.72,15.06,14.58,1/26/2022,22.62,22.49,22.07
1/27/2016,10.91,11.12,11.24,1/26/2017,11.80,11.96,12.05,1/25/2018,11.25,11.41,11.53,1/25/2019,11.08,11.27,11.46,1/27/2020,10.47,10.67,10.82,1/27/2021,16.28,15.38,14.75,1/27/2022,22.84,22.66,22.15
1/28/2016,10.84,11.05,11.18,1/27/2017,11.75,11.89,11.97,1/26/2018,11.20,11.35,11.46,1/28/2019,11.03,11.23,11.39,1/28/2020,10.47,10.68,10.84,1/28/2021,15.86,15.21,14.63,1/28/2022,23.08,22.69,22.08
1/29/2016,10.78,11.00,11.13,1/30/2017,11.59,11.74,11.82,1/29/2018,11.25,11.41,11.53,1/29/2019,10.99,11.18,11.35,1/29/2020,10.47,10.68,10.83,1/29/2021,15.69,15.17,14.62,1/31/2022,22.98,22.73,22.14
2/1/2016,10.68,10.90,11.04,1/31/2017,11.51,11.66,11.74,1/30/2018,11.30,11.45,11.56,1/30/2019,10.97,11.15,11.33,1/30/2020,10.35,10.56,10.71,2/1/2021,16.23,15.39,14.74,2/1/2022,23.18,22.88,22.32
2/2/2016,10.75,10.96,11.09,2/1/2017,11.61,11.78,11.84,1/31/2018,11.27,11.41,11.52,1/31/2019,10.92,11.10,11.27,1/31/2020,10.22,10.43,10.58,2/2/2021,16.00,15.38,14.74,2/2/2022,23.19,22.89,22.30
2/3/2016,10.70,10.92,11.05,2/2/2017,11.68,11.85,11.93,2/1/2018,11.21,11.34,11.44,2/1/2019,10.94,11.12,11.29,2/3/2020,10.26,10.47,10.62,2/3/2021,15.76,15.34,14.78,2/3/2022,23.23,22.91,22.27
2/4/2016,10.62,10.83,10.96,2/3/2017,11.64,11.81,11.88,2/2/2018,11.19,11.32,11.43,2/4/2019,10.97,11.15,11.32,2/4/2020,10.32,10.52,10.68,2/4/2021,15.77,15.32,14.91,2/4/2022,23.07,22.73,22.14
2/5/2016,10.63,10.84,10.98,2/6/2017,11.72,11.89,11.97,2/5/2018,11.22,11.35,11.47,2/5/2019,10.95,11.12,11.29,2/5/2020,10.47,10.68,10.83,2/5/2021,15.70,15.30,14.83,2/7/2022,23.35,23.10,22.45
2/8/2016,10.55,10.76,10.89,2/7/2017,11.80,11.97,12.05,2/6/2018,11.34,11.46,11.58,2/6/2019,11.00,11.18,11.34,2/6/2020,10.46,10.66,10.82,2/8/2021,15.79,15.50,14.95,2/8/2022,23.20,22.84,22.24
2/9/2016,10.44,10.64,10.77,2/8/2017,11.88,12.06,12.14,2/7/2018,11.30,11.44,11.55,2/7/2019,10.98,11.18,11.35,2/7/2020,10.46,10.67,10.83,2/9/2021,16.02,15.69,15.04,2/9/2022,23.28,22.99,22.34
2/10/2016,10.50,10.70,10.82,2/9/2017,11.95,12.13,12.19,2/8/2018,11.32,11.46,11.57,2/8/2019,10.96,11.15,11.34,2/10/2020,10.43,10.64,10.80,2/10/2021,15.84,15.52,14.90,2/10/2022,23.13,22.81,22.20
2/11/2016,10.63,10.83,10.95,2/10/2017,11.97,12.16,12.22,2/9/2018,11.29,11.42,11.53,2/11/2019,10.88,11.07,11.24,2/11/2020,10.42,10.63,10.78,2/11/2021,15.97,15.62,14.93,2/11/2022,22.99,22.69,22.01
2/12/2016,10.60,10.80,10.90,2/13/2017,11.90,12.08,12.15,2/12/2018,11.41,11.54,11.65,2/12/2019,10.91,11.10,11.28,2/12/2020,10.51,10.72,10.86,2/12/2021,16.57,15.90,15.15,2/14/2022,22.90,22.56,21.96
2/16/2016,10.63,10.82,10.91,2/14/2017,11.82,12.00,12.06,2/13/2018,11.43,11.54,11.63,2/13/2019,10.90,11.10,11.28,2/13/2020,10.52,10.72,10.86,2/16/2021,16.74,16.08,15.32,2/15/2022,22.74,22.47,21.87
2/17/2016,10.54,10.72,10.83,2/15/2017,11.89,12.06,12.12,2/14/2018,11.43,11.53,11.62,2/14/2019,10.86,11.05,11.22,2/14/2020,10.42,10.63,10.77,2/17/2021,17.09,16.28,15.55,2/16/2022,22.89,22.70,22.14
2/18/2016,10.53,10.65,10.75,2/16/2017,11.82,11.99,12.04,2/15/2018,11.37,11.47,11.58,2/15/2019,10.79,11.00,11.16,2/18/2020,10.48,10.68,10.83,2/18/2021,17.03,16.49,15.76,2/17/2022,22.88,22.74,22.24
2/19/2016,10.58,10.67,10.78,2/17/2017,11.74,11.91,11.96,2/16/2018,11.41,11.53,11.65,2/19/2019,10.74,10.94,11.10,2/19/2020,10.42,10.61,10.76,2/19/2021,17.54,16.68,15.96,2/18/2022,23.12,22.95,22.39
2/22/2016,10.62,10.73,10.84,2/21/2017,11.72,11.85,11.92,2/20/2018,11.46,11.60,11.70,2/20/2019,10.68,10.87,11.04,2/20/2020,10.42,10.61,10.76,2/22/2021,18.16,17.08,16.34,2/22/2022,23.41,23.29,22.68
2/23/2016,10.40,10.47,10.58,2/22/2017,11.75,11.87,11.95,2/21/2018,11.53,11.65,11.76,2/21/2019,10.77,10.95,11.13,2/21/2020,10.39,10.60,10.76,2/23/2021,18.84,17.60,16.75,2/23/2022,23.66,23.42,22.76
2/24/2016,10.45,10.54,10.66,2/23/2017,11.64,11.73,11.80,2/22/2018,11.58,11.68,11.81,2/22/2019,10.74,10.92,11.10,2/24/2020,10.20,10.41,10.57,2/24/2021,18.16,17.35,16.61,2/24/2022,24.16,23.86,23.10
2/25/2016,10.16,10.28,10.42,2/24/2017,11.69,11.72,11.80,2/23/2018,11.61,11.71,11.83,2/25/2019,10.68,10.84,11.02,2/25/2020,10.16,10.35,10.51,2/25/2021,17.92,16.67,15.99,2/25/2022,22.71,22.71,22.25
2/26/2016,10.14,10.27,10.41,2/27/2017,11.61,11.67,11.74,2/26/2018,11.73,11.84,11.95,2/26/2019,10.61,10.77,10.95,2/26/2020,10.17,10.35,10.52,2/26/2021,18.13,16.76,15.98,2/28/2022,23.43,23.42,22.90
2/29/2016,10.12,10.20,10.31,2/28/2017,11.76,11.80,11.86,2/27/2018,11.73,11.84,11.98,2/27/2019,10.56,10.73,10.91,2/27/2020,10.13,10.36,10.53,3/1/2021,18.17,16.77,16.00,3/1/2022,24.88,24.49,23.80
3/1/2016,10.09,10.13,10.22,3/1/2017,12.14,12.09,12.14,2/28/2018,11.80,11.88,12.00,2/28/2019,10.51,10.64,10.83,2/28/2020,10.27,10.35,10.52,3/2/2021,18.48,17.08,16.23,3/2/2022,24.25,24.07,23.54
3/2/2016,10.21,10.25,10.33,3/2/2017,12.07,11.98,12.04,3/1/2018,11.83,11.91,12.02,3/1/2019,10.35,10.46,10.66,3/2/2020,10.42,10.50,10.67,3/3/2021,18.80,17.40,16.52,3/3/2022,24.75,24.57,23.95
3/3/2016,10.21,10.26,10.34,3/3/2017,12.17,12.08,12.12,3/2/2018,11.87,11.95,12.06,3/4/2019,10.38,10.50,10.69,3/3/2020,10.52,10.58,10.75,3/4/2021,18.47,17.74,16.79,3/4/2022,24.56,24.38,23.85
3/4/2016,10.21,10.26,10.38,3/6/2017,12.04,12.06,12.10,3/5/2018,11.99,12.03,12.12,3/5/2019,10.27,10.38,10.58,3/4/2020,10.70,10.59,10.77,3/5/2021,18.55,17.82,16.91,3/7/2022,25.06,24.88,24.26
