2016,S AB CASH 2016,PEACE CASH 2016,N AB CASH 2016,2017,S AB CASH 2017,PEACE CASH 2017,N AB CASH 2017,2018,S AB CASH 2018,PEACE CASH 2018,N AB CASH 2018,2019,S AB CASH 2019,PEACE CASH 2019,N AB CASH 2019,2020,S AB CASH 2020,PEACE CASH 2020,N AB CASH 2020,2021,S AB CASH 2021,PEACE CASH 2021,N AB CASH 2021,2022,S AB CASH 2022,PEACE CASH 2022,N AB CASH 2022
01/04/2016,10.3,10.22,10.18,01/02/2017,10.67,10.52,10.6,01/02/2018,10.69,10.4,10.58,01/01/2019,10.54,10.64,10.67,01/01/2020,10.27,10.18,10.25,01/01/2021,13.73,13.74,13.81,01/03/2022,22.77,22.56,22.8
01/05/2016,10.36,10.28,10.23,01/03/2017,10.6,10.43,10.53,01/03/2018,10.79,10.48,10.66,01/02/2019,10.67,10.64,10.75,01/02/2020,10.29,10.16,10.25,01/04/2021,13.8,13.75,13.83,01/04/2022,22.96,22.74,22.98
01/06/2016,10.42,10.28,10.31,01/04/2017,10.69,10.43,10.56,01/04/2018,10.89,10.58,10.76,01/03/2019,10.68,10.65,10.76,01/03/2020,10.24,10.12,10.2,01/05/2021,14.03,13.98,14.07,01/05/2022,23,22.76,23.01
01/07/2016,10.23,10.28,10.13,01/05/2017,10.68,10.49,10.61,01/05/2018,10.87,10.56,10.75,01/04/2019,10.61,10.58,10.69,01/06/2020,10.25,10.15,10.21,01/06/2021,14.15,14.09,14.18,01/06/2022,22.94,22.73,22.95
01/08/2016,10.3,10.28,10.13,01/06/2017,10.56,10.36,10.47,01/08/2018,10.83,10.52,10.71,01/07/2019,10.6,10.56,10.67,01/07/2020,10.31,10.2,10.26,01/07/2021,14.23,14.18,14.26,01/07/2022,23.18,22.95,23.18
01/11/2016,10.24,10.16,10.17,01/09/2017,10.64,10.36,10.54,01/09/2018,10.87,10.53,10.76,01/08/2019,10.6,10.56,10.67,01/08/2020,10.33,10.22,10.28,01/08/2021,14.42,14.38,14.46,01/10/2022,23.04,22.79,23.02
01/12/2016,10.36,10.16,10.28,01/10/2017,10.66,10.36,10.56,01/10/2018,10.8,10.46,10.69,01/09/2019,10.59,10.56,10.67,01/09/2020,10.39,10.28,10.35,01/11/2021,14.58,14.54,14.63,01/11/2022,22.95,22.77,22.96
01/13/2016,10.4,10.33,10.33,01/11/2017,10.61,10.46,10.56,01/11/2018,10.75,10.41,10.76,01/10/2019,10.54,10.46,10.59,01/10/2020,10.4,10.29,10.36,01/12/2021,14.86,14.84,14.93,01/12/2022,22.64,22.46,22.65
01/14/2016,10.45,10.35,10.37,01/12/2017,10.71,10.56,10.66,01/12/2018,10.8,10.46,10.8,01/11/2019,10.64,10.53,10.68,01/13/2020,10.38,10.27,10.34,01/13/2021,14.82,14.84,14.91,01/13/2022,21.99,21.78,21.99
01/15/2016,10.44,10.35,10.34,01/13/2017,10.66,10.56,10.56,01/15/2018,10.75,10.41,10.76,01/14/2019,10.55,10.44,10.59,01/14/2020,10.35,10.24,10.31,01/14/2021,14.89,14.9,14.97,01/14/2022,21.86,21.67,21.86
01/18/2016,10.53,10.39,10.44,01/16/2017,10.75,10.56,10.69,01/16/2018,10.72,10.38,10.73,01/15/2019,10.46,10.34,10.5,01/15/2020,10.23,10.12,10.19,01/15/2021,14.84,14.87,14.93,01/17/2022,21.72,21.51,21.72
01/19/2016,10.55,10.41,10.41,01/17/2017,10.86,10.7,10.81,01/17/2018,10.74,10.38,10.73,01/16/2019,10.54,10.43,10.58,01/16/2020,10.23,10.12,10.18,01/18/2021,14.81,14.87,14.91,01/18/2022,21.32,21.19,21.34
