2016,WC1 2016,WC2 2016,WC3 2016,2017,WC1 2017,WC2 2017,WC3 2017,2018,WC1 2018,WC2 2018,WC3 2018,2019,WC1 2019,WC2 2019,WC3 2019,2020,WC1 2020,WC2 2020,WC3 2020,2021,WC1 2021,WC2 2021,WC3 2021,2022,WC1 2022,WC2 2022,WC3 2022
1/4/2016,6.40625,6.46875,6.59375,1/3/2017,5.46875,5.625,5.78125,1/2/2018,5.4375,5.59375,5.75,1/2/2019,6.875,6.96875,7.0625,1/2/2020,7.28125,7.3125,7.34375,1/4/2021,8.1875,8.1875,8.03125,1/3/2022,9.65625,9.6875,9.625
1/5/2016,6.46875,6.53125,6.625,1/4/2017,5.5625,5.71875,5.875,1/3/2018,5.46875,5.625,5.78125,1/3/2019,6.9375,7,7.09375,1/3/2020,7.21875,7.25,7.28125,1/5/2021,8.28125,8.28125,8.125,1/4/2022,9.78125,9.8125,9.75
1/6/2016,6.5,6.59375,6.6875,1/5/2017,5.625,5.78125,5.9375,1/4/2018,5.40625,5.5625,5.71875,1/4/2019,6.90625,7,7.09375,1/6/2020,7.125,7.1875,7.21875,1/6/2021,8.21875,8.21875,8.09375,1/5/2022,9.6875,9.75,9.71875
1/7/2016,6.625,6.6875,6.78125,1/6/2017,5.59375,5.75,5.9375,1/5/2018,5.34375,5.5,5.65625,1/7/2019,6.875,6.9375,7,1/7/2020,7.15625,7.1875,7.21875,1/7/2021,8.15625,8.15625,8.03125,1/6/2022,9.5,9.53125,9.53125
1/8/2016,6.78125,6.84375,6.9375,1/9/2017,5.65625,5.8125,6,1/8/2018,5.3125,5.46875,5.625,1/8/2019,6.875,6.9375,7.03125,1/8/2020,7.21875,7.25,7.28125,1/8/2021,8.09375,8.125,8,1/7/2022,9.59375,9.625,9.5625
1/11/2016,6.65625,6.75,6.84375,1/10/2017,5.65625,5.8125,6,1/9/2018,5.375,5.5625,5.6875,1/9/2019,6.875,6.9375,7,1/9/2020,7.34375,7.375,7.40625,1/11/2021,8.125,8.125,8.03125,1/10/2022,9.65625,9.6875,9.625
1/12/2016,6.875,6.9375,7.03125,1/11/2017,5.53125,5.6875,5.90625,1/10/2018,5.4375,5.625,5.78125,1/10/2019,6.8125,6.875,6.9375,1/10/2020,7.375,7.40625,7.40625,1/12/2021,8.4375,8.46875,8.28125,1/11/2022,9.6875,9.71875,9.6875
1/13/2016,6.84375,6.90625,7,1/12/2017,5.59375,5.78125,5.96875,1/11/2018,5.4375,5.59375,5.75,1/11/2019,6.90625,6.96875,7.03125,1/13/2020,7.34375,7.375,7.40625,1/13/2021,8.375,8.40625,8.21875,1/12/2022,9.46875,9.5,9.4375
1/14/2016,6.71875,6.8125,6.90625,1/13/2017,5.59375,5.75,5.96875,1/12/2018,5.25,5.40625,5.5625,1/14/2019,6.84375,6.90625,6.96875,1/14/2020,7.4375,7.4375,7.46875,1/14/2021,8.46875,8.46875,8.28125,1/13/2022,9.34375,9.375,9.28125
1/15/2016,6.875,6.96875,7.03125,1/17/2017,5.65625,5.84375,6.03125,1/16/2018,5.1875,5.34375,5.53125,1/15/2019,6.78125,6.84375,6.90625,1/15/2020,7.46875,7.5,7.5,1/15/2021,8.59375,8.625,8.375,1/14/2022,9.3125,9.34375,9.25
